
 prefix: admin, CPU load: 1.03, Heap load: 1.92
 prefix: application, CPU load: 0.95, Heap load: 13.97
 prefix: admin, CPU load: 0.95, Heap load: 2.1
 prefix: application, CPU load: 0.95, Heap load: 14.06
 prefix: admin, CPU load: 0.95, Heap load: 2.1
 prefix: application, CPU load: 0.95, Heap load: 14.06
 prefix: admin, CPU load: 0.95, Heap load: 2.3
 prefix: application, CPU load: 0.95, Heap load: 14.06
 prefix: admin, CPU load: 0.95, Heap load: 2.3
 prefix: application, CPU load: 0.95, Heap load: 14.06
 prefix: admin, CPU load: 0.95, Heap load: 2.5
 prefix: application, CPU load: 0.87, Heap load: 14.15
 prefix: admin, CPU load: 0.87, Heap load: 2.5
 prefix: application, CPU load: 0.87, Heap load: 14.15
 prefix: admin, CPU load: 0.87, Heap load: 2.65
 prefix: application, CPU load: 0.87, Heap load: 14.15
 prefix: admin, CPU load: 0.87, Heap load: 2.68
 prefix: application, CPU load: 0.87, Heap load: 14.15
 prefix: admin, CPU load: 0.87, Heap load: 2.85
 prefix: application, CPU load: 0.87, Heap load: 14.15
 prefix: admin, CPU load: 0.87, Heap load: 2.85
 prefix: application, CPU load: 0.8, Heap load: 14.15
 prefix: admin, CPU load: 0.8, Heap load: 3.06
 prefix: application, CPU load: 0.8, Heap load: 14.15
 prefix: admin, CPU load: 0.8, Heap load: 3.06
 prefix: application, CPU load: 0.8, Heap load: 14.15
 prefix: admin, CPU load: 0.8, Heap load: 3.23
 prefix: application, CPU load: 0.8, Heap load: 14.15
 prefix: admin, CPU load: 0.8, Heap load: 3.23
 prefix: application, CPU load: 0.8, Heap load: 14.15
 prefix: admin, CPU load: 0.8, Heap load: 3.41
 prefix: application, CPU load: 0.74, Heap load: 14.15
 prefix: admin, CPU load: 0.74, Heap load: 3.41
 prefix: application, CPU load: 0.74, Heap load: 14.24
 prefix: admin, CPU load: 0.74, Heap load: 3.61
 prefix: application, CPU load: 0.74, Heap load: 14.24
 prefix: admin, CPU load: 0.74, Heap load: 3.61
 prefix: application, CPU load: 0.74, Heap load: 14.24
 prefix: admin, CPU load: 0.74, Heap load: 3.79
 prefix: application, CPU load: 0.74, Heap load: 14.24
 prefix: admin, CPU load: 0.74, Heap load: 3.79
 prefix: application, CPU load: 0.68, Heap load: 14.24
 prefix: admin, CPU load: 0.68, Heap load: 3.99
 prefix: application, CPU load: 0.68, Heap load: 14.24
 prefix: admin, CPU load: 0.68, Heap load: 3.99
 prefix: application, CPU load: 0.68, Heap load: 14.24
 prefix: admin, CPU load: 0.68, Heap load: 4.17
 prefix: application, CPU load: 0.68, Heap load: 14.24
 prefix: admin, CPU load: 0.68, Heap load: 4.17
 prefix: application, CPU load: 0.68, Heap load: 14.33
 prefix: admin, CPU load: 0.62, Heap load: 4.34
 prefix: application, CPU load: 0.62, Heap load: 14.33
 prefix: admin, CPU load: 0.62, Heap load: 4.37
 prefix: application, CPU load: 0.62, Heap load: 14.33
 prefix: admin, CPU load: 0.62, Heap load: 4.52
 prefix: application, CPU load: 0.62, Heap load: 14.33
 prefix: admin, CPU load: 0.62, Heap load: 4.52
 prefix: application, CPU load: 0.62, Heap load: 14.33
 prefix: admin, CPU load: 0.62, Heap load: 4.72
 prefix: application, CPU load: 0.62, Heap load: 14.42
 prefix: admin, CPU load: 0.57, Heap load: 4.72
 prefix: application, CPU load: 0.57, Heap load: 14.42
 prefix: admin, CPU load: 0.57, Heap load: 4.9
 prefix: application, CPU load: 0.57, Heap load: 14.42
 prefix: admin, CPU load: 0.57, Heap load: 4.92
 prefix: application, CPU load: 0.57, Heap load: 14.42
 prefix: admin, CPU load: 0.57, Heap load: 5.1
 prefix: application, CPU load: 0.57, Heap load: 14.42
 prefix: admin, CPU load: 0.57, Heap load: 5.1
 prefix: application, CPU load: 0.57, Heap load: 14.61
 prefix: admin, CPU load: 0.53, Heap load: 1.11
 prefix: application, CPU load: 0.53, Heap load: 14.61
 prefix: admin, CPU load: 0.53, Heap load: 1.13
 prefix: application, CPU load: 0.53, Heap load: 14.61
 prefix: admin, CPU load: 0.53, Heap load: 1.31
 prefix: application, CPU load: 0.53, Heap load: 14.61
 prefix: admin, CPU load: 0.53, Heap load: 1.33
 prefix: application, CPU load: 0.53, Heap load: 14.61
 prefix: admin, CPU load: 0.53, Heap load: 1.51
 prefix: application, CPU load: 0.53, Heap load: 14.61
 prefix: admin, CPU load: 0.48, Heap load: 1.54
 Build: 0. Application tests finished.
 prefix: application, CPU load: 0.48, Heap load: 14.61
 prefix: admin, CPU load: 0.48, Heap load: 1.71
 prefix: application, CPU load: 0.48, Heap load: 14.61
 prefix: admin, CPU load: 0.48, Heap load: 1.74
 prefix: application, CPU load: 0.48, Heap load: 14.61
 prefix: admin, CPU load: 0.48, Heap load: 1.91
 prefix: application, CPU load: 0.48, Heap load: 14.61
 prefix: admin, CPU load: 0.48, Heap load: 1.91
 prefix: application, CPU load: 0.48, Heap load: 14.61
 prefix: admin, CPU load: 0.45, Heap load: 2.09
 prefix: application, CPU load: 0.45, Heap load: 14.61
 prefix: admin, CPU load: 0.45, Heap load: 2.09
 prefix: application, CPU load: 0.45, Heap load: 14.61
 prefix: admin, CPU load: 0.45, Heap load: 2.27
 prefix: application, CPU load: 0.45, Heap load: 14.61
 prefix: admin, CPU load: 0.45, Heap load: 2.47
 prefix: application, CPU load: 0.45, Heap load: 14.61
 prefix: admin, CPU load: 0.45, Heap load: 2.47
 prefix: application, CPU load: 0.45, Heap load: 14.61
 prefix: admin, CPU load: 0.41, Heap load: 2.64
 prefix: application, CPU load: 0.41, Heap load: 14.61
 prefix: admin, CPU load: 0.41, Heap load: 2.64
 prefix: application, CPU load: 0.41, Heap load: 14.61
 prefix: admin, CPU load: 0.41, Heap load: 2.82
 prefix: application, CPU load: 0.41, Heap load: 14.61
 prefix: admin, CPU load: 0.41, Heap load: 2.82
 prefix: application, CPU load: 0.41, Heap load: 14.61
 prefix: admin, CPU load: 0.41, Heap load: 3.0
 prefix: application, CPU load: 0.41, Heap load: 14.61
 prefix: admin, CPU load: 0.38, Heap load: 3.02
 prefix: application, CPU load: 0.38, Heap load: 14.61
 prefix: admin, CPU load: 0.38, Heap load: 3.07
 prefix: application, CPU load: 0.38, Heap load: 14.61
 prefix: admin, CPU load: 0.38, Heap load: 3.2
 prefix: application, CPU load: 0.38, Heap load: 14.61
 prefix: admin, CPU load: 0.38, Heap load: 3.27
 prefix: application, CPU load: 0.38, Heap load: 14.61
 prefix: admin, CPU load: 0.38, Heap load: 3.4
 prefix: application, CPU load: 0.38, Heap load: 14.61
 prefix: admin, CPU load: 0.35, Heap load: 3.58
 prefix: application, CPU load: 0.35, Heap load: 14.61
 prefix: admin, CPU load: 0.35, Heap load: 3.58
 prefix: application, CPU load: 0.35, Heap load: 14.61
 prefix: admin, CPU load: 0.35, Heap load: 3.75
 prefix: application, CPU load: 0.35, Heap load: 14.61
 prefix: admin, CPU load: 0.35, Heap load: 3.75
 prefix: application, CPU load: 0.35, Heap load: 14.61
 prefix: admin, CPU load: 0.35, Heap load: 3.96
 prefix: application, CPU load: 0.35, Heap load: 14.84
 prefix: admin, CPU load: 0.32, Heap load: 3.96
 prefix: application, CPU load: 0.32, Heap load: 14.84
 prefix: admin, CPU load: 0.32, Heap load: 4.13
 prefix: application, CPU load: 0.32, Heap load: 14.84
 prefix: admin, CPU load: 0.32, Heap load: 4.13
 prefix: application, CPU load: 0.32, Heap load: 14.84
 prefix: admin, CPU load: 0.32, Heap load: 4.31
 prefix: application, CPU load: 0.32, Heap load: 14.84
 prefix: admin, CPU load: 0.32, Heap load: 4.31
 prefix: application, CPU load: 0.32, Heap load: 14.84
 prefix: admin, CPU load: 0.45, Heap load: 4.51
 prefix: application, CPU load: 0.45, Heap load: 14.84
 prefix: admin, CPU load: 0.45, Heap load: 4.51
 prefix: application, CPU load: 0.45, Heap load: 14.84
 prefix: admin, CPU load: 0.45, Heap load: 4.69
 prefix: application, CPU load: 0.45, Heap load: 14.84
 prefix: admin, CPU load: 0.45, Heap load: 4.69
 prefix: application, CPU load: 0.45, Heap load: 14.84
 prefix: admin, CPU load: 0.45, Heap load: 4.89
 prefix: application, CPU load: 0.42, Heap load: 14.84
 prefix: admin, CPU load: 0.42, Heap load: 4.89
 prefix: application, CPU load: 0.42, Heap load: 14.84
 prefix: admin, CPU load: 0.42, Heap load: 5.06
 prefix: application, CPU load: 0.42, Heap load: 14.84
 prefix: admin, CPU load: 0.42, Heap load: 5.06
 prefix: application, CPU load: 0.42, Heap load: 14.84
 prefix: admin, CPU load: 0.42, Heap load: 5.24
 prefix: application, CPU load: 0.42, Heap load: 14.84
 prefix: admin, CPU load: 0.42, Heap load: 5.24
 prefix: application, CPU load: 1.02, Heap load: 14.84
 Deploy build №2 started.
 prefix: admin, CPU load: 1.02, Heap load: 1.3
 prefix: admin, CPU load: 1.02, Heap load: 1.3
 prefix: admin, CPU load: 1.02, Heap load: 1.3
 prefix: admin, CPU load: 1.02, Heap load: 1.3
 prefix: admin, CPU load: 1.02, Heap load: 1.3
 prefix: admin, CPU load: 0.94, Heap load: 1.3
 prefix: admin, CPU load: 0.94, Heap load: 1.3
 prefix: admin, CPU load: 0.94, Heap load: 1.3
 prefix: admin, CPU load: 0.94, Heap load: 1.3
 prefix: admin, CPU load: 0.94, Heap load: 1.3
 prefix: admin, CPU load: 0.87, Heap load: 1.32
 prefix: admin, CPU load: 0.87, Heap load: 1.45
 Deploy build №2 finished.
 prefix: application, CPU load: 0.87, Heap load: 1.72
 prefix: admin, CPU load: 0.87, Heap load: 2.57
 prefix: application, CPU load: 0.87, Heap load: 3.51
 prefix: admin, CPU load: 0.87, Heap load: 3.44
 prefix: application, CPU load: 0.87, Heap load: 13.41
